scorer,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000
individuals,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2
bodyparts,nose,nose,nose,neck,neck,neck,tailbase,tailbase,tailbase,nose,nose,nose,neck,neck,neck,tailbase,tailbase,tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
86,428.852,143.351,1.0,425.775,148.603,1.0,410.345,174.342,1.0,342.165,138.008,1.0,347.723,137.731,1.0,380.046,133.21,1.0
87,428.806,143.289,1.0,425.569,148.974,1.0,410.55,174.394,1.0,342.347,137.682,1.0,347.92,137.779,1.0,380.174,133.401,1.0
88,428.803,143.294,1.0,425.556,148.966,1.0,410.54,174.39,1.0,342.351,137.686,1.0,347.92,137.772,1.0,380.183,133.413,1.0
89,428.387,143.373,1.0,425.58,149.098,1.0,410.536,174.362,1.0,342.259,137.547,1.0,347.748,137.931,1.0,380.247,133.45,1.0
90,427.911,143.344,1.0,422.586,153.997,1.0,410.708,174.419,1.0,342.401,137.911,1.0,347.943,137.707,1.0,379.974,133.454,1.0
91,425.258,145.016,1.0,422.396,154.791,1.0,410.558,174.435,1.0,342.452,138.115,1.0,350.206,135.689,1.0,380.036,133.299,1.0
92,342.541,138.232,1.0,352.262,137.861,1.0,379.938,133.171,1.0,424.811,144.953,1.0,422.076,154.816,1.0,410.628,174.282,1.0
93,342.167,138.39,1.0,348.112,137.511,1.0,379.629,133.433,1.0,425.224,145.048,1.0,427.77,150.903,1.0,410.619,174.419,1.0
94,342.126,138.424,1.0,350.303,135.541,1.0,379.719,133.465,1.0,425.238,145.057,1.0,427.773,150.881,1.0,410.607,174.421,1.0
95,342.125,138.837,1.0,351.694,137.752,1.0,380.267,133.502,1.0,424.544,145.544,1.0,421.682,155.277,1.0,410.231,173.948,1.0
96,341.944,138.547,1.0,350.73,135.355,1.0,380.547,133.444,1.0,423.875,145.297,1.0,427.595,151.374,1.0,410.392,174.042,1.0
97,426.846,143.299,1.0,427.39,151.16,1.0,410.38,174.112,1.0,342.357,139.198,1.0,348.58,137.613,1.0,380.661,133.365,1.0
98,426.622,143.455,1.0,427.365,151.557,1.0,410.396,173.935,1.0,342.408,139.506,1.0,348.714,137.659,1.0,380.731,133.285,1.0
99,342.865,139.173,1.0,348.62,138.061,1.0,380.589,133.517,1.0,423.518,145.406,1.0,427.075,151.366,1.0,410.527,173.972,1.0
100,342.865,139.172,1.0,348.621,138.061,1.0,380.589,133.518,1.0,423.517,145.407,1.0,427.078,151.365,1.0,410.525,173.971,1.0
101,342.786,139.389,1.0,348.69,138.018,1.0,380.647,133.337,1.0,424.013,145.767,1.0,426.84,151.777,1.0,410.605,174.073,1.0
102,342.659,139.317,1.0,348.805,138.037,1.0,380.502,133.251,1.0,424.067,145.898,1.0,426.893,151.51,1.0,410.485,174.047,1.0
103,342.731,139.718,1.0,348.265,138.328,1.0,380.289,133.244,1.0,423.926,145.9,1.0,426.733,151.954,1.0,410.599,174.23,1.0
104,426.182,143.796,1.0,426.771,151.19,1.0,410.513,173.87,1.0,342.652,139.613,1.0,348.325,138.23,1.0,380.321,133.191,1.0
105,426.171,143.827,1.0,426.886,151.163,1.0,410.368,173.808,1.0,342.855,139.378,1.0,348.174,138.345,1.0,380.357,133.12,1.0
106,426.271,143.874,1.0,426.939,151.19,1.0,410.33,173.817,1.0,342.835,139.407,1.0,348.117,138.345,1.0,380.358,133.123,1.0
107,425.915,143.831,1.0,426.75,151.347,1.0,410.563,173.975,1.0,342.442,139.29,1.0,347.653,138.38,1.0,380.044,133.217,1.0
108,425.744,143.875,1.0,426.737,151.047,1.0,410.541,173.869,1.0,342.473,138.857,1.0,347.807,138.143,1.0,379.874,133.128,1.0
109,426.227,143.614,1.0,425.948,151.305,1.0,411.342,174.191,1.0,342.205,138.188,1.0,347.308,138.409,1.0,379.708,132.603,1.0
110,425.829,143.216,1.0,426.188,151.362,1.0,410.996,173.589,1.0,342.655,137.85,1.0,347.62,138.57,1.0,380.048,133.276,1.0
111,425.817,143.096,1.0,426.674,151.042,1.0,410.877,173.45,1.0,342.697,138.055,1.0,347.791,138.518,1.0,379.719,133.359,1.0
112,425.811,143.083,1.0,426.64,151.049,1.0,410.879,173.452,1.0,342.703,138.039,1.0,347.787,138.527,1.0,379.724,133.358,1.0
113,425.495,142.946,1.0,424.494,153.108,1.0,410.725,173.505,1.0,342.367,137.954,1.0,347.607,138.128,1.0,379.638,133.273,1.0
114,425.34,142.72,1.0,425.195,152.894,1.0,410.902,173.401,1.0,342.229,138.143,1.0,347.682,138.059,1.0,379.733,133.362,1.0
115,425.34,142.78,1.0,425.24,152.675,1.0,410.65,173.629,1.0,342.344,138.327,1.0,347.78,138.081,1.0,379.511,133.314,1.0
116,425.499,142.846,1.0,425.583,153.261,1.0,410.753,173.631,1.0,342.108,138.373,1.0,347.476,138.424,1.0,379.634,133.22,1.0
117,425.585,142.366,1.0,425.393,152.388,1.0,410.68,173.64,1.0,342.177,137.625,1.0,347.575,138.291,1.0,379.604,133.163,1.0
118,425.588,142.373,1.0,425.421,152.391,1.0,410.682,173.643,1.0,342.197,137.686,1.0,347.638,138.275,1.0,379.643,133.179,1.0
119,425.635,142.48,1.0,425.27,152.338,1.0,410.551,173.673,1.0,342.385,137.535,1.0,347.395,138.437,1.0,379.822,133.243,1.0
120,425.933,143.302,1.0,425.17,152.661,1.0,410.642,173.843,1.0,342.205,137.395,1.0,347.303,138.089,1.0,378.725,132.834,1.0
121,425.765,143.339,1.0,424.76,152.52,1.0,410.689,173.803,1.0,342.013,137.869,1.0,347.296,138.034,1.0,379.158,133.012,1.0
122,426.262,143.257,1.0,424.539,152.538,1.0,410.897,173.822,1.0,342.009,137.734,1.0,347.259,137.893,1.0,379.426,133.173,1.0
123,426.213,143.047,1.0,424.61,152.518,1.0,410.928,173.877,1.0,342.466,137.952,1.0,347.227,138.295,1.0,379.442,133.02,1.0
124,426.203,143.05,1.0,424.603,152.522,1.0,410.946,173.896,1.0,342.469,137.951,1.0,347.228,138.29,1.0,379.44,133.019,1.0
125,426.207,143.242,1.0,425.197,152.426,1.0,410.461,174.164,1.0,342.492,138.096,1.0,346.755,138.937,1.0,379.306,133.103,1.0
126,426.176,143.017,1.0,425.776,152.404,1.0,410.265,173.822,1.0,342.262,138.603,1.0,346.998,138.945,1.0,379.69,133.062,1.0
127,427.106,143.395,1.0,422.292,154.704,1.0,410.35,173.747,1.0,342.526,140.008,1.0,347.739,138.908,1.0,379.751,132.769,1.0
